"","meanS","sdmeanS","meanFDR","sdmeanFDR"
"Daisy2_m11_200nrep_30_Megan",173.1,1.00498756211209,0.0531268998586165,0.00304585026703945
"Daisy2_m11_200nrep_30_Daisy",193.8,2.15673230904384,0.278271415048741,0.0103802645291063
"Daisy2_m11_200nrep_30_Megan2",4.76666666666667,0.867925699099346,0.0409915050549725,0.0131658192612407
"Daisy2_m11_200nrep_30_Daisy2",46.2,1.88179420375538,0.267576723348577,0.0128009115317646
"Daisy2_m11_200nrep_30_Megan1",0.0333333333333333,0.0333333333333333,0.1,0.0557086014531156
"Daisy2_m11_200nrep_30_Daisy1",0.1,0.0735003323160835,0.103333333333333,0.051301079582047
