"","meanS","sdmeanS","meanFDR","sdmeanFDR"
"1",0.07,0.0293188669562103,0.015,0.0111350751676807
"2",0,0,0,0
"3",10.46,0.54112117054512,0.0287245505182812,0.00556450455002127
"4",13.33,0.523981455451017,0.0411127433978427,0.00622320013851332
"5",67.88,0.58934649649361,0.0412675435269344,0.00244081294847951
"6",70.57,0.481633374124662,0.04050695096354,0.00231128095797356
"7",95.91,0.211342510077023,0.03907722728901,0.00202634735123173
"8",96.38,0.18465364793843,0.0385620962076643,0.00181527269398893
"9",0.13,0.0393251147037697,0.01,0.00703526470681448
"10",0.04,0.0196946385566932,0,0
"11",28.15,0.962149844479706,0.029697906279513,0.00311190355793175
"12",39.95,0.859924239087198,0.0401305726930444,0.00323951017899649
"13",150.32,0.751010094217223,0.0393055766150694,0.00168869630907191
"14",154.73,0.676272463171793,0.0406344031859014,0.00149795954935462
"15",194.47,0.264939482321773,0.0446778013818798,0.001506107575593
"16",195,0.238259683470949,0.0411252185067454,0.0013199140931726
"17",0.3,0.0627645914460848,0.01,0.01
"18",0.26,0.0705247288100945,0.0175,0.0113790299776529
"19",79.96,2.01614293224273,0.0214478845967426,0.00179192665512887
"20",118.84,1.3633529671847,0.0413322107980103,0.00191555616076154
"21",327.06,1.07354035270636,0.0399055538481485,0.00113955675457985
"22",333.06,0.839771493691088,0.0396861228757644,0.000947012028192356
"23",392.95,0.291764053005614,0.0466206859533633,0.00117337061703867
"24",385.7,4.52261433288761,0.0382408144834171,0.00122309438058877
"25",0.36,0.0627967701672175,0,0
"26",0.46,0.090364022518127,0.00833333333333333,0.00598117135471061
"27",145.79,3.43905950850379,0.0178875991212938,0.00116824515748712
"28",211.23,1.75389062464919,0.0331256633915641,0.00110289652252537
"29",516.4,1.30275543260111,0.0399783731709905,0.00106670715215993
"30",518.86,0.967138860638727,0.0341002973295277,0.00083474319628142
"31",593.19,0.310325667971601,0.0459248833486735,0.00094323060541101
"32",578.77,6.23418167942844,0.0317867219766509,0.00106425220700511
"33",0.11,0.034509550720186,0.035,0.0177738316327429
"34",0.03,0.0222701503353614,0.005,0.005
"35",24.12,0.98578584762297,0.0260528815363549,0.00338681002261421
"36",33.85,0.939844711007133,0.0422509529651968,0.00331287313237319
"37",172.9,1.03255102351488,0.046371954382559,0.0017974644938135
"38",179.75,0.862621679310323,0.0471337476287478,0.00157547954260774
