"","ndr.means","ndr.se","fdr.means","fdr.se","pauc.means","pauc.se"
"rho",0,0,0,0,0,0
"Maximum",95.94,2.42511355560431,0.0409305573564972,0.00219634213649045,0.0386864444444445,0.000156133632462495
"Euclidean",100.89,2.86757895983861,0.0453019825356862,0.0024572155142809,0.0389490555555556,0.000154009357057792
"Summation",91.48,2.13614776472211,0.0335905633197195,0.00203477512350451,0.0392563333333333,0.00015415233641854
"De Lichtenberg",0.34,0.0923541711526498,0,0,0.0338209444444444,0.000181035623637487
"Existing",19.62,0.986349252792766,0.00298217897867267,0.00128027252187965,0,0
"Histogram",107.02,1.0327936029346,0.051328925727456,0.00210475289289902,0.0384591527777778,3.58675897837323e-05
